Disease,Symptoms,Affected Animals,Severity,Duration,Curability
Foot and Mouth Disease,"Fever, Blisters on mouth and feet, Lameness, Loss of appetite","Cows, Sheep, Goats",High,1-2 weeks,Incurable
Bovine Tuberculosis,"Coughing, Weight Loss, Fever, Swollen lymph nodes",Cows,High,Months,Incurable
Brucellosis,"Fever, Joint pain, Abortion, Weak Calves","Cows, Pigs",Moderate,Chronic,Incurable
Avian Influenza,"Fever, Coughing, Respiratory distress, Death in birds","Chickens, Ducks",High,1-3 weeks,Incurable
Bluetongue,"Fever, Swelling, Inflamation, Lameness","Cows, Sheep",Moderate,3-4 weeks,Incurable
Mantitis,"Swelling of udder, Heat, Pain, Reduced milk production",Cows,Low,1-2 weeks,Curable
African Swine Fever,"High fever, Red skin lesions, Internal bleeding, Death in pigs",Pigs,High,Acute,Incurable
Salmonellosis,"Fever, diarrhea, Abdominal pain, Vomiting","Pigs, Cows",Moderate,2-3 days,Curable
Johnes Disease,"Weight loss, Diarrhea, Reduced milk production, Arthritis","Cows, Sheep",High,Chronic,Incurable
Rabies,"Behavioral changes, Drooling, Paralysis, Death","Dogs, Cows, Horses",High,7-10 days,Incurable
Lumpy Skin Disease,"Swelling of skin, Fever, Lesions, Reduced milk production",Cows,Moderate,2-3 weeks,Curable
Newcastle Disease,"Respiratory distress, Couching, Nasal Dsicharge, Paralysis","Chickens, Ducks, Turkeys",Moderate,1-2 weeks,Incurable
Fowlpox,"Fever, Skin lesions, Swollen eyes, Reduced egg production","Chickens, Ducks",Moderate,1-2 weeks,Curable
Leptospirosis,"Fever, Lethargy, Yellowing of eyes, Vomiting","Cows, Goats",High,1-2 weeks,Curable
Anthrax,"Fever, Sudden death, Swelling, Blackening of tissue","Pigs, Cattle",High,Acute,Incurable
